UID,designer,tid,subcategory,Product Tag,Content weight,Style weight,Browse
10,"3rd-partycookie,slimetalwork,pulse,slowly,cuori,cookbythesea,33mm,andbytanluciana,kristaelstaknitwear,moderato,infblackshop,duckplayground,novizio,regolith-f","1hO87B5a,1XdfUkqZ,1Xjbk0ma,1mbNrWno,1tG7OmQV,1lrFx6QX,1H899nyq,1wMdcJ4Q,1Y05Hy1H,1VaGMjMW,1E4bIYwM,1AFQ4Br5,1iuiORcf,1tpUn1XN","外套/大衣 (女),項鍊/墜子,裙子,針織衫/毛衣 (女),襯衫 (女),外套/大衣 (女),項鍊/墜子,裙子,針織衫/毛衣 (女),襯衫 (女),外套/大衣 (女),項鍊/墜子,裙子,手提包","＆,文藝,不對稱,香氛項鍊,創意,woman,design,聖誕,愛,open,casual,cardigan,母親節,簡約,【無限】系列,vintage,古著白色襯衫,項鍊,overlap,by,black,耶誕,都會,party,情人節,wool,裙,生日,派對,限量款,氣質,手繪琉璃瓶,獨特,個性,luciana,棉,felt,交換禮物,設計,skirt,金工,新年,hoodie,優雅,front,silk,品牌設計商品,tan,森林,休閒,外套/大衣 (女),925純銀/手工,格子,藏香瓶,【簡約風格】系列,可愛,帆布包,復古,日本製,cashmere,古著,古著襯衫,樂活,手作",0.802536157368,0.197463842632,"1ugWHVPB,1m5nbgys,1Ybx9lUa,1cqPCMfN"
11,"bestfriend,davidloumang,oldbones,elfland174,snupped,happinessonly,fabiihuahua,lyla-silver-accessories,rainbowring,missvirgo","1DgLF_ms,1NTtE086,1QwmPlsZ,17RCZKGk,1M2qx3Eq,1Aa_yH0Q,1ALhNrHw,1YO7ikuX,1dufjN3t,1F1wNdWc","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,電腦包,其他8,iPhone 週邊,項鍊/墜子,Android 週邊,耳環","田園,露西,客製化,新潮炫酷屌,流行飾品,項鍊,勾針,保護殼,文件夾,iphone6plus,量身訂做,浪漫,情人節,韓國流行頸鍊,小葉,美式,vintage,handmade,復古,設計感,iphone,蘑菇,麻,毛毯布,筆電包,民族,retro,a4尺寸,電腦包,手機殼,手工,禮物,給她,大尾流氓,古董,設計,配件,和平,型格,防水牛皮紙,獨家設計,復古銅,黑色項鍊,客製化禮物,小花,簡約,頸鍊,玫瑰花,design,鳥,真皮,給他,iphone6,造型,耳環,lucy,編織,leather,編繩,耶誕,可愛,刺青手機殼,手機保護殼,friendship,手作",0.0121515236465,0.987848476353,0
12,"tiyafei,davidloumang,fanbubao,innerexile,hairmo,emmahouse","19cuiBmz,1vouPfH_,1zMJeO4e,14QBkFka,1i5FxMAA,1mGqQ9z3","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,電腦包,手提包","apple,手提包,創意,帆布,iphone6plus,托特包,聖誕市集,情人節,新潮炫酷屌,質感,handmade,防塵塞,iphone,保護套,限量款,電腦包,手機殼,手工,交換禮物,設計,重磅數,ipad,禮物,iphone6,大尾流氓,豹,手機保護殼,刺青,手作",0.711080901405,0.288919098595,1nOkzFgv
13,"noble_bunny,theman,rarapupu,hello-cheese,marygo,monkeycookie,chojicha,cedar-leaves,princess-neko,mimi-secret,missbear5420","1QxW7Yc2,1vz2vYsq,1Ij0Y4Rt,1ckqVtk8,1asAmAIP,1xTndTRl,1jev87Uq,1XwHpgFG,1sM1VFRv,1nYdy_fb,1avykMve","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,鑰匙圈/鑰匙包","櫻花,經典,胸章,植物,鑰匙圈,創意,fashion,可愛,髮帶,布藝,浪漫,職人,美國,簡約,vintage,handmade,絕版限量,胸針,飾品,紙鶴,自製,獨特,個性,手工,音樂韓國絨吊飾,設計,動物,earrings,甜美,金工,粉紅,復古,小花,森林,禮物,活力,耳環,串珠,摺紙,design,蕾絲,手作",0.269254867176,0.730745132824,"1bhoSkF1,1ehfkTAX,1Z6NCcmc,1zUrPFDQ"
14,"fabiihuahua,yoshi850,tenegro0315,feltsjie,gracefulcrafts,qmono","19PsG2aZ,1Mnabd08,1Iv3OLQB,1hIua0m0,1Vh-_9uT,1vhhdHhY","iPhone 週邊,Android 週邊,肩背包/斜背包,平板/電腦保護套,電腦包,紙膠帶","apple,laptop,computer,可愛,情人節,分類-家飾壁貼,★mt_casa,其它-無地_素色_純色,handmade,電腦保護套,紫色,2,毛氈套,可量身訂製,肩背包/斜背包,筆電包,case,分類-紙膠帶,電腦包,手機殼,手工,禮品,平板電腦包,設計,黑色,薰衣草,動物,愛情,平板電腦,gracefulcrafts,毛氈,訂做,ipad,禮物,design,cotton,小熊,sleeve,原創,cover,air,客人訂制,其它-日本製,訂製,蘋果,手作",0.270649695684,0.729350304316,1YPIkGM6
15,"twine,fille-reve,ckoshxcko,2pi-creative,a-aroi,hauteforet,noveltylane,mithx,mermer,vintage1961,alma-handmade,yuandi,lisablue1114,alma-handmade,vum,dwl,damu","1n_Mwfzt,1USROKji,1ZKov1a6,173PhKB4,18bOdUdS,17imgW9M,1zDMjRYE,1IzYbsMj,1mVpIale,1sHsj2Sa,1oeIcRb_,1H39JhVF,1X1DMz43,1OgnE8Dt,18SiCrTn,1C3OAPcA,1hwQiH0E","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,米/米粉/麵線","shop,手工,love,項鍊,handmade,accessories,鑰匙圈,飾物,貓,design,網上購物,時裝,愛,網上時裝,購物,文具,中古,創意,網上商店,香港,鏡子,頭髮不約束,vintage,聖誕禮物,懷舊,復古,養生薑黃,刺蝟,胸針,earrings,noveltylane,限量款,shopping,聖誕節,項鍊/墜子,配件:黃銅,mer．mer,交換禮物,古董,設計,愛心,狗,古著,補冬,頸鏈,玉瓍瑪瑙,禮物,胸针,elegant,鏡子鑰匙圈,怪手夾,耳環,necklace,可愛,手作,陶土",0.728990949883,0.271009050117,"1psTYFXN,1Hi338Mk,15IfCiQU"
16,"moncocon,playmetoys,mynatural,lillian-baby","1ApqYeRO,1_PJANMv,1KFx28cX,1Bp4U91f","媽媽包,啟發玩具,童鞋,童裝","and,禮物,保護,媽媽袋,moncocon,設計,天然,lanas,安全,無毒,可愛,精品,cappies,natural系列,媽媽包,design,舒適,playme",0.111218280619,0.888781719381,1EDbu0Go
17,ijoin,1K9tiFvR,媽媽包,"趣味,旅行",0.415962505366,0.584037494634,1qYoPHe8
18,"ricamo-accessori-poco,keepitpetite,formless,afstyle,tzui,noveltylane,duckplayground,jo2handmade,5step,afterschool,colorpluslife,dailylike,noveltylane,papasbowtie,nu-studio","1yV5Tycf,1f9SgJWB,1ABQ1A7I,1pATPhSN,1Rmw4J3a,1QhhZklh,1RB7m64W,1Gma7jqf,1x4nLnS1,1x0zvStq,1Z3PwTEq,1gESkU1H,1yK2561i,1IE7kvpy,1irzMjW1","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,紙膠帶,項鍊/墜子,髮飾,耳環","shop,羊毛氈,ブローチ,小物,項鍊,accessories,飾物,創意,寶石,design,網上購物,網上時裝,情人節,朋友禮物,文具,簡約,香港,natural系列,vintage,電話繩,handmade,幾何,客製化禮物,禮品包裝,embroidery,フラッグ,鍍金,noveltylane,頭飾,格紋,高貴,限量款,shopping,可愛,手工,刺繍,禮品,藍,brooch,設計,貓咪,flag,童話,glicocrafts,復古,網上商店,禮物,頸鏈,手工大腸圈,卡片diy,夾式耳環,紙膠帶,包包掛飾,necklace,動物花卉,swallow,古董飾品,皮革,女朋友,手作",0.664665318315,0.335334681685,"1nZl7H_2,1YA0UKM2,1TcZymSU"
19,"packit,jellycat-tw,king-baby,dolly-girl,beije2016","1ml1GKuO,1hsMhVCA,1Zmy5bKH,1pV6DVh0,1qcYCJPX","媽媽包,啟發玩具,童鞋,童裝,圍兜/領巾/配件","禮物,保冷,保冰,手工,禮品,handmade,設計,彌月,購物,創意,可愛,design,兒童節,生日禮物,情人節,美國rufflebutts,手作",0.439895317227,0.560104682773,"1X57j5r3,1P2DGrAu,1ivV933g,1gpk1j7r"
20,"twine,pufeisugar,sienna","156v5O7k,15L1czYU,16q1Y_ud","杯墊,圍兜/領巾/配件,髮飾","禮物,生活雜貨,杯墊,手工,禮品,handmade,設計,隨身小物,創意,design,飾品,手作",0.125288093415,0.874711906585,1Upt_tuK
21,"starlululu,maureencarnival,noeud,bywe,fluffy,bigred-ws,buiiuefu","1XunEmmx,1AoO9pyu,1KjjbFK9,1eWfozdA,1jT5TL67,1akEk3P4,1-xm002x","杯墊,圍兜/領巾/配件,髮飾,耳環,胸針,捲線器/電線收納,晚宴包/手拿包","長尾鸚鵡,fluffy,結婚紀念日,創意,design,兔子,情人節,handmade,インコ,オカメインコ,禮品,限量款,手工,羊毛,奶嘴鏈,設計,客製化禮物,禮物,鳥,黃銅勾式耳環,集線器,聖誕,可愛,生日,手作",0.881884568655,0.118115431345,"1iTS6Din,1Mt0BabH,1B2zoiOJ"
22,"groovingthebeats,trista0904,lan,studio-ycyc,playhandmade,diameter,inblooom","1D3YdcPZ,1xtNfRFs,1EVFL3KS,1kBu0ug6,17j8zYCH,1WwAymNH,10ARhLn5","杯墊,圍兜/領巾/配件,髮飾,耳環,票夾/隨身夾,捲線器/電線收納,紙張材料","情人節優惠,針織,羊毛氈,毛線,創意,可愛,日系,識別證套,情人節,簡約,natural系列,vintage,handmade,復古,插畫卡套,圍兜,純銀,限量款,手工,禮物,禮品,手工皮革,設計,悠遊卡套,飾品,客製化禮物,皮革,natural,leather,耳環,訂製,民族,嬉皮,design,髮帶,手作",0.789236228926,0.210763771074,"11vTngPx,167RaeEQ"
23,"sophiarosedesign,about-dream,loopy,playhandmade,s16-remgo,kakasunshop,gfsd,boomboomkidz,bolonalab,coliday","1pQ8yB70,1wjxIhjn,12er6ks7,1HiFmCFE,1R9V7eFt,1flrkbqJ,1sGvibAM,1DrlhtdD,1WHLc51x,18Rl_jlf","皮夾/錢包,束口後背包,後背包,零錢包,手提包,皮夾/錢包,束口後背包,洋裝,後背包,耳環","modern,創意,street,design,手提包,牛皮小錢包,吊帶裙,手工,unisex,handmade,側背包,後背包,限量款,urban,零錢包,禮品,設計,craft,口袋,禮物,leather,原創,耳環,bag,natural系列",0.31425693135,0.68574306865,"1_MX1Tjm,1SiytOI8,1btEHdUq"
24,"status-anxiety,brut-cake,shika1811,lions,yossi-jag","1ev3Dwco,1O9YuGz2,1E02eUYi,1Ak2rO39,1IzCHAZ7","皮夾/錢包,束口後背包,後背包,零錢包,手鍊/手環","布袋,皮包,audrey,design,長夾,生活,女夾,handmade,束口包,後背包,限量款,手工,包包,設計,布包,環保,布料,簡約,皮革,零錢包,手鍊,手作",0.429327710744,0.570672289256,"1x4r25xY,1XYZ08aF,17eAgEvY"
25,"1983er,babycat,koper,gracefulcrafts,ae0231,oldnewlady,luffy2882,qmono","1wxK-ux8,19ma8BMW,1CC0a9cU,1tsfo4Kw,1MGEDGZz,1JZJrm23,15572zo2,11GoxUqG","皮夾/錢包,束口後背包,後背包,零錢包,手提包,耳環,皮夾/錢包,貼紙","★round_top,粉紅色,包,小清新,貓,design,聖誕,耳機袋,簡約,風格-插畫_手繪,handmade,客製化禮物,花,其它-標籤_手帳_書寫,口金,後背包,風格-可愛,後背束口包,零錢包,禮物,手工皮革,設計,紙包包-pig豬系列,交換禮物提案,紙包包-樂團系列,復古,玫瑰花,卡片包,耳環,小收納包,其它-人物_表情,耳機布包,紙包包-ｅｒ動物園,其它-日本製,分類-自黏標籤_索引貼紙,手作",0.0276007996461,0.972399200354,"1jYJrYpK,1QSU3llC,1sEfaAfA"
26,"duckplayground,hongkongoapes,skderhouse,emmahouse,mackyzakka,sou,foldboat,littleprince,neconoco,crystalline,momobunnyhandcraft,64design,missing-nien","1ercPJdk,1GbST0mz,1BUS08cO,18DKQGmF,1_GkMV8G,1bLqOnAW,1HEyFKkM,1nqSrvU6,1LVzK0gy,17g0ZhSe,17UIgur2,1RRCI47C,1kff4It9","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,咖啡杯/馬克杯","罌粟花,羊毛氈,項鍊,髮束,創意,彩繪,design,聖誕市集,企鵝,手工,natural系列,情人節,sparrow,handmade,鄉村風,扣針,胸針,pins,プレゼント,茶杯盤,聖誕節,禮物,禮品,交換禮物,設計,狗狗造型,幸運草,客製化禮物,簡約,項鍊/墜子,馬賽克,鳥,レザー・アクセサリー,＿森林,別針,可愛,髮帶,手作",0.0935360420017,0.906463957998,1kutaXx4
27,"lions,dartmeco,aminah","1E04daVc,1djosR5q,1Un181gb","皮夾/錢包,束口後背包,後背包","皮革,創意,印花,零錢包,個性中性後背包,腳踏車,手拿包,皮包,塗鴉,設計,aminah,肩背包,長夾,情人節,後背包,束口包",0.917355082833,0.0826449171674,1CPbvRk5
28,"reverleather,silverbreeze","1PvYhLQR,1tKw2LYL","皮夾/錢包,束口後背包","結婚週年禮物,原色皮革,葉子,皮革卡片套,綠色,皮革名片套,父親節禮物,束口包,母親節禮物,後背包,生日禮物",0.598983686872,0.401016313128,"1PUfgHKs,1n0_4y4D,1eOMboio,1DLPZuih"
29,"goodsofdesire,my-shirt,chums,little-yee,mystery","1kMeqqNW,1b1Bxa4p,1LW4hjwX,1W4e7dLW,1sLM22YM","皮夾/錢包,束口後背包,後背包,零錢包,襯衫 (女)","住好啲,女用包包,客製化,復古包包,香港品牌,創意,可愛,推薦包包,g.o.d.,禮物推薦,簡約,香港,vintage,handmade,懷舊,名片夾,限量,生日禮物,限量款,手工,包包,禮品,住好的,設計,香港潮牌,古董衣,hk,復古,卡夾,日本設計,禮物,g.o.d.住好啲,名片包,卡片包,hongkong,包包推薦,圖騰,god,design,god住好啲",0.0292358602012,0.970764139799,"1G1Oj46f,1Mibbzww"
30,"status-anxiety,thelollipophouse,goyoung","1oeYIgye,1rebYbKl,1hRhOPAG","皮夾/錢包,束口後背包,後背包","限量款,小孩背包,esther,italy,女夾,真皮包,長夾,handmade,束口後背包,猫头鹰,古董,marco,vintage,polo,古著,卡通,动物,復古,束口包",0.971859333009,0.0281406669906,0
31,"unsimple-life,my-shirt,aminah,theheydayshop,antennashop,patina-taiwan,hnigel,pikangpikang,kimmykuo","1P48UC6K,1B6Ecmad,1h6uP4eI,1HOn8a4U,1l2I5d5e,14nYU8L4,1fbxW9fI,1Zh0dOIC,1zuIqr90","皮夾/錢包,束口後背包,後背包,零錢包,手提包,皮夾/錢包,卡片/明信片,束口後背包,其他0","俏皮,男性皮夾,客製化,帆布袋,創意,帆布,可愛,長夾,手拿包,❤antenna-shop,簡約,個性中性後背包,handmade,手機套,卡片/明信片,束口袋,女用,皮夾,束口包,限量,皮康,怪獸,其他,手工,旅遊,手工皮革,元素符號,男用,aminah,手作,客製化禮物,皮套,皮革,禮物,零錢包,編織,手工訂製,帆布包,復古,卡通,恐龍",0.442126990102,0.557873009898,"1tRigyYn,1J6x665R,16hiygzy,1YcbMrB5"
32,"clare,my-shirt,ibaobao,hoe,luck-luck777,lizs-design,wawu,overdue,risy,feebees","1wcErvUk,1FTA62i4,1kC1Zk8H,1pvf0bNu,1HRjCiO2,1SmmBgJC,1a_PdSb5,1xkjRflH,1RYpjyVU,1OJvC1zU","皮夾/錢包,束口後背包,後背包,零錢包,手提包,吊飾,皮夾/錢包,襪子,束口後背包,童鞋","客製化,旅行包,鑰匙圈,創意,design,手提包,長夾,ibaobao,水松包,簡約,natural系列,peace,handmade,皮夾/錢包,水松布料,女包,愛包包,束口包,後背包,情侶裝,鈔票夾,電腦包,手工,禮品,女裝包,設計,doughnut,復古,禮物,背包,卡包,零錢包,可愛",0.78686869196,0.21313130804,0
33,"nadeshiko,namnamworkshop,b-forhandmade,wy-atelier,bywe,kami,wy-atelier,mshowfan,dog-castle,tukino,little-flower,oliviayaojewellery,maureencarnival,emma-agency,itsocool,angelady,dnsdesignoriginal,fandol,kkkkaleidoscope,hopnbounce,dooors,zingidea","1EOeaHi8,1ANs0A39,1FQpWMc2,16Yn2bdg,1jLzllFC,1Y8lulyx,1EbILyZd,18ArfhTQ,1hPy0on3,1k9Qyx5r,1uRcmfJm,1e63YPWV,14P2sE62,1lz3rkn0,1nfyEigk,1d11a8ou,1_l4ltbF,1lREa4S6,1sjhMCI3,1xNM06q0,1xIBfLUG,1pr002oU","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,耳環,鑰匙圈/鑰匙包,耳環,胸針,香皂/精油/薰香,項鍊/墜子,畫作,髮飾,燈具/燈飾","四角,chain,精油,香皂,創意,皮革,面白い,レッド,kkk.首飾りnecklace,簡約,natural系列,好煩小姐,緞帶,真皮,派對,狗狗的...,限量款,＄１００元專區耳環,設計,緑,k金,鬆緊,silver,leather,耳環,蝴蝶結大腸髮圈,手作,square,項鍊,熊,簡單,複製畫,香氛,design,玻璃飾物,シルバー,イヤリング,jewelry,香港,扣針,earrings,christmas,red,生日禮物,手工,kami,個性的,小碎花,客製化禮物,大自然,水彩,小狗狗系列設計,柯基犬,天然,シンプル,絲帶花,可愛,聖誕,kanzashi,金白色,森林系,花,鬆緊帶,つまみ細工,禮品,手工皮革,交換禮物,ちょっと違う,手工項鍊,玻璃球,pierces,禮盒,復古,women,吊飾,赤,新年,原創,掛畫,訂製,髮帶,fashion,墜子,海報,插畫,ピアス,別針,刻字,vintage,裝飾,handmade,版畫,耶誕,手繪,小狗,グリーン,珍珠,クリスマス,a4,畫作,禮物,絲帶,山,green,【水泥設計款】,necklace,牛皮",0.434860732675,0.565139267325,"1KOK7Bej,11YhO5JM,10JiVNpM,1HS29c8I"
